date,description,category,type,amount
2026-02-25,Despesas Aurum,Essencial,Gastos,-300
2026-02-27,Ovo Matilda e NN,Vendas,Lucro,220
2026-02-29,Kinder,Vendas,Lucro,110
2026-02-29,Ovo Matilda,Vendas,Lucro,120
