date,description,category,type,amount
2026-02-25,Despesas Aurum,Essencial,expense,300
2026-02-26,Ovo Matilda e NN,Vendas,income,220
2026-02-27,Kinder,Vendas,income,110
2026-02-28,Ovo Matilda,Vendas,income,120
