date,description,category,type,amount
2026-25-02,Despesas Aurum,Essencial,Gastos,-300
2026-27-02,Ovo Matilda e NN,Vendas,Lucro,220
2026-27-02,Kinder,Vendas,Lucro,110
2026-27-02,Ovo Matilda,Vendas,Lucro,120
